# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20260401
# End date: 20260430
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Cross-network,20260422,645,785,515,69.63949044585988,0.7984496124031008,7.894267515923567,0.6560509554140127,6197,40,0.04076433121019108,14028.44
Referral,20260422,645,676,72,5.8579881656804735,0.11162790697674418,3.8579881656804735,0.10650887573964497,2608,6,0.008875739644970414,3095
Cross-network,20260427,644,814,498,67.65724815724816,0.7732919254658385,7.8071253071253075,0.6117936117936118,6355,34,0.036855036855036855,10213.63
Cross-network,20260425,641,844,506,62.66824644549763,0.7893915756630265,7.79739336492891,0.5995260663507109,6581,35,0.04028436018957346,11097.5
Organic Search,20260408,641,754,540,71.87798408488064,0.8424336973478939,7.888594164456234,0.7161803713527851,5948,25,0.025198938992042442,14157.98
Organic Search,20260430,637,784,525,75.87117346938776,0.8241758241758241,7.747448979591836,0.6696428571428571,6074,34,0.03316326530612245,12573.66
Cross-network,20260423,630,767,464,59.71838331160365,0.7365079365079366,7.666232073011734,0.6049543676662321,5880,31,0.04041720990873533,10745.35
Cross-network,20260429,630,782,522,83.90537084398977,0.8285714285714286,8.746803069053708,0.6675191815856778,6840,39,0.03964194373401535,9778.82
Unassigned,20260424,630,642,215,12.57943925233645,0.3412698412698413,4.160436137071651,0.3348909657320872,2671,4,0.004672897196261682,660.06
Cross-network,20260414,626,762,487,68.76509186351706,0.7779552715654952,7.843832020997375,0.6391076115485564,5977,36,0.04199475065616798,9498.59
Organic Search,20260416,625,730,536,75.57260273972602,0.8576,8.520547945205479,0.7342465753424657,6220,18,0.023287671232876714,4977.13
Cross-network,20260403,621,790,488,70.87468354430379,0.785829307568438,8.318987341772152,0.6177215189873417,6572,44,0.04430379746835443,29209.37
Organic Search,20260428,621,739,514,67.80108254397835,0.8276972624798712,7.8010825439783495,0.6955345060893099,5765,32,0.03247631935047361,11542.5
Referral,20260412,621,632,51,6.889240506329114,0.0821256038647343,3.7167721518987342,0.08069620253164557,2349,2,0.0031645569620253164,791.2
Cross-network,20260406,620,779,508,64.196405648267,0.8193548387096774,7.82413350449294,0.6521181001283697,6095,39,0.04236200256739409,13086.24
Cross-network,20260408,620,763,518,83.5124508519004,0.8354838709677419,8.791612057667104,0.6788990825688074,6708,42,0.04980340760157274,11368.85
Organic Search,20260424,618,749,532,72.65420560747664,0.86084142394822,8.205607476635514,0.7102803738317757,6146,28,0.03204272363150868,12615.06
Cross-network,20260426,615,793,475,63.55611601513241,0.7723577235772358,7.751576292559899,0.5989911727616646,6147,30,0.034047919293820936,5609.04
Referral,20260421,615,647,75,12.757341576506954,0.12195121951219512,4.02936630602782,0.11591962905718702,2607,3,0.00463678516228748,798
Organic Search,20260401,613,721,514,72.84327323162275,0.8384991843393148,8.156726768377254,0.7128987517337032,5881,33,0.04299583911234397,10262.08
Cross-network,20260430,610,749,513,75.51802403204272,0.840983606557377,8.574098798397864,0.684913217623498,6422,40,0.04138851802403204,9638.33
Organic Search,20260423,608,747,520,79.19812583668005,0.8552631578947368,8.139223560910308,0.6961178045515395,6080,33,0.03346720214190094,41545.03
Cross-network,20260418,607,782,484,69.25191815856778,0.7973640856672158,8.369565217391305,0.618925831202046,6545,37,0.04731457800511509,9194.27
